datetime,azimuth,elevation,tracker_theta
2025-07-23 21:00:00+02:00,300.8371554662293,1.8276471426764906,87.87168946382509
2025-07-23 22:00:00+02:00,312.80017946577817,-5.979811556111279,0.0
2025-07-23 23:00:00+02:00,325.6729216634061,-12.094996727822268,0.0
2025-07-24 00:00:00+02:00,339.5302982060674,-16.410179910068873,0.0
2025-07-24 01:00:00+02:00,354.14873633200546,-18.550801141001592,0.0
2025-07-24 02:00:00+02:00,9.015750098451349,-18.300997416895626,0.0
2025-07-24 03:00:00+02:00,23.513064664113813,-15.687347805903938,0.0
2025-07-24 04:00:00+02:00,37.178844310424665,-10.96781900387378,0.0
2025-07-24 05:00:00+02:00,49.85581526218675,-4.535807200151664,0.0
2025-07-24 06:00:00+02:00,61.67154822846476,3.4036725405696653,-86.13457300396229
2025-07-24 07:00:00+02:00,72.95095054920063,11.876276731977544,-77.59436788561139
2025-07-24 08:00:00+02:00,84.16006118622823,20.992510911208377,-68.90757851808233
2025-07-24 09:00:00+02:00,95.91867222578941,30.31268942953513,-59.55369999939274
2025-07-24 10:00:00+02:00,109.08555406630137,39.419386149027154,-48.98367633979253
2025-07-24 11:00:00+02:00,124.88283008591253,47.74061773476955,-36.69990377109664
2025-07-24 12:00:00+02:00,144.81217490444118,54.376797975785024,-22.436403562819052
2025-07-24 13:00:00+02:00,169.4750712952515,58.025129671661844,-6.505301426789295
2025-07-24 14:00:00+02:00,196.10396609225987,57.55683877875789,9.999872335949108
2025-07-24 15:00:00+02:00,219.82822925571293,53.13784082860992,25.651759983962876
2025-07-24 16:00:00+02:00,238.74351003611605,46.032470849625085,39.50852464945065
2025-07-24 17:00:00+02:00,253.8435527008293,37.471005556580955,51.40867796697418
2025-07-24 18:00:00+02:00,266.6115639027246,28.266483178275493,61.69168078237749
2025-07-24 19:00:00+02:00,278.1833770678177,18.9435564994641,70.87565889270988
2025-07-24 20:00:00+02:00,289.3561637463645,9.905514124750159,79.51385211344228
2025-07-24 21:00:00+02:00,300.71285384021166,1.6699188994139633,88.05783547687378
2025-07-24 22:00:00+02:00,312.6926133913879,-6.16312968652991,0.0
2025-07-24 23:00:00+02:00,325.587713367716,-12.29045988254673,0.0
2025-07-25 00:00:00+02:00,339.4747683084395,-16.616102369640156,0.0
2025-07-25 01:00:00+02:00,354.1294321283299,-18.762933802248835,0.0
2025-07-25 02:00:00+02:00,9.035128956870494,-18.513348966671266,0.0
2025-07-25 03:00:00+02:00,23.56805061710361,-15.894056356042428,0.0
2025-07-25 04:00:00+02:00,37.26272487887991,-11.164918429252214,0.0
2025-07-25 05:00:00+02:00,49.96153484101899,-4.72186677901588,0.0
2025-07-25 06:00:00+02:00,61.793879232900736,3.235538336638674,-86.32960080097236
2025-07-25 07:00:00+02:00,73.0870107715192,11.709493648002306,-77.77673485136307
2025-07-25 08:00:00+02:00,84.30880252130805,20.8294794016249,-69.07625268097229
2025-07-25 09:00:00+02:00,96.07966679296345,30.14931651799644,-59.710134235868786
2025-07-25 10:00:00+02:00,109.25636618451153,39.249967609096494,-49.12533889818783
2025-07-25 11:00:00+02:00,125.05254217053562,47.55843035769691,-36.8184480880049
2025-07-25 12:00:00+02:00,144.94825774971156,54.176669109766976,-22.51720172939238
2025-07-25 13:00:00+02:00,169.51898337260627,57.810841467037314,-6.532294800208584
2025-07-25 14:00:00+02:00,196.02564611758385,57.34521434299478,10.033213989798028
2025-07-25 15:00:00+02:00,219.67225042422314,52.943262578655656,25.736721832929035
2025-07-25 16:00:00+02:00,238.56472350118952,45.85557383242898,39.628872083058404
2025-07-25 17:00:00+02:00,253.66805610006435,37.305500356821,51.55091780593854
2025-07-25 18:00:00+02:00,266.44715125334164,28.10552701769461,61.84864502780529
2025-07-25 19:00:00+02:00,278.0313931850834,18.7815493354704,71.04563171522936
2025-07-25 20:00:00+02:00,289.21681247989676,9.73868669271114,79.69862436753675
2025-07-25 21:00:00+02:00,300.5873735810012,1.5079327214954803,88.24847095462081
2025-07-25 22:00:00+02:00,312.5843456992985,-6.35231897723172,0.0
